TABLE NO.  1
  1.4000E+01  3.3759E+01  2.9928E+01
  1.5000E+01  2.1554E+01  2.9928E+01
  1.6000E+01  1.9716E+01  2.9928E+01
  1.7000E+01  4.9044E+01  2.9928E+01
  1.8000E+01  7.2148E+01  2.9928E+01
  1.9000E+01  6.9024E+01  2.9928E+01
  2.0000E+01 -3.4749E+01  2.9928E+01
  2.1000E+01  4.3547E+01  2.9928E+01
  1.0000E+01  4.2045E+01  2.9928E+01
  1.1000E+01  9.9684E+00  2.9928E+01
  1.2000E+01 -3.3286E+01  2.9928E+01
  1.3000E+01  4.7869E+01  2.9928E+01
  1.4000E+01  2.8351E+01  2.9928E+01
  1.5000E+01  7.7046E+01  2.9928E+01
  1.6000E+01  1.7729E+01  2.9928E+01
  1.7000E+01  7.0220E+01  2.9928E+01
  1.8000E+01  3.7273E+01  2.9928E+01
  1.9000E+01  3.1513E+01  2.9928E+01
  2.0000E+01  2.7294E+01  2.9928E+01
  2.1000E+01  4.1232E+01  2.9928E+01
  1.0000E+00  3.8163E+01  2.9928E+01
  2.0000E+00  4.3086E+01  2.9928E+01
  3.0000E+00  1.6528E+01  2.9928E+01
  4.0000E+00  6.3079E+01  2.9928E+01
  5.0000E+00  2.9789E+01  2.9928E+01
  6.0000E+00  3.7611E+01  2.9928E+01
  7.0000E+00  2.2200E+01  2.9928E+01
  8.0000E+00  1.2878E+02  2.9928E+01
  9.0000E+00  5.6527E+01  2.9928E+01
  1.0000E+01  7.3770E+01  2.9928E+01
  1.1000E+01  2.2809E+01  2.9928E+01
  1.2000E+01  3.5858E+01  2.9928E+01
  1.3000E+01  3.1911E+01  2.9928E+01
  1.4000E+01  4.7969E+01  2.9928E+01
  1.5000E+01  5.2070E+01  2.9928E+01
  1.6000E+01  5.9621E+01  2.9928E+01
  1.7000E+01  3.3267E+01  2.9928E+01
  1.8000E+01  1.4823E+01  2.9928E+01
  1.9000E+01  3.0675E+01  2.9928E+01
  2.0000E+01  3.4102E+01  2.9928E+01
  2.1000E+01 -2.7798E+02  2.9928E+01
  1.0000E+01 -1.4882E+01  2.9928E+01
  1.1000E+01  3.6552E+01  2.9928E+01
  1.2000E+01  5.8211E+01  2.9928E+01
  1.3000E+01  3.1495E+01  2.9928E+01
  1.4000E+01  3.1270E+01  2.9928E+01
  1.5000E+01  3.2626E+01  2.9928E+01
  1.6000E+01  4.8947E+01  2.9928E+01
  1.7000E+01  3.7639E+01  2.9928E+01
  1.8000E+01  4.2121E+01  2.9928E+01
  1.9000E+01  3.1387E+01  2.9928E+01
  2.0000E+01  4.1833E+01  2.9928E+01
  2.1000E+01  3.5499E+01  2.9928E+01
  1.0000E+01  6.9022E+00  2.9928E+01
  1.1000E+01  2.3968E+01  2.9928E+01
  1.2000E+01  3.6168E+01  2.9928E+01
  1.3000E+01  3.2042E+01  2.9928E+01
  1.4000E+01  2.4842E+01  2.9928E+01
  1.5000E+01  3.0845E+01  2.9928E+01
  1.6000E+01  3.0071E+01  2.9928E+01
  1.7000E+01  3.8555E+01  2.9928E+01
  1.8000E+01  3.3658E+01  2.9928E+01
  1.9000E+01  5.3113E+01  2.9928E+01
  2.0000E+01  2.1611E+01  2.9928E+01
  2.1000E+01 -1.9676E+01  2.9928E+01
  1.0000E+01  3.1953E+01  2.9928E+01
  1.1000E+01  5.0878E+01  2.9928E+01
  1.2000E+01  2.9730E+01  2.9928E+01
  1.3000E+01  2.6242E+01  2.9928E+01
  1.4000E+01  1.2996E+01  2.9928E+01
  1.5000E+01  5.7109E+00  2.9928E+01
  1.6000E+01  8.8169E+01  2.9928E+01
  1.7000E+01  5.9689E+01  2.9928E+01
  1.8000E+01 -1.3327E+02  2.9928E+01
  1.9000E+01  2.9042E+01  2.9928E+01
  2.0000E+01  6.1061E+01  2.9928E+01
  2.1000E+01  4.5588E+01  2.9928E+01
  1.0000E+01  2.9710E+02  2.9928E+01
  1.1000E+01 -1.5821E+02  2.9928E+01
  1.2000E+01  2.0553E+02  2.9928E+01
  1.3000E+01  2.5601E+01  2.9928E+01
  1.4000E+01  2.1436E+01  2.9928E+01
  1.5000E+01  2.8157E+01  2.9928E+01
  1.6000E+01  2.8257E+01  2.9928E+01
  1.7000E+01  4.6986E+01  2.9928E+01
  1.8000E+01  3.4114E+01  2.9928E+01
  1.9000E+01 -9.7041E+01  2.9928E+01
  2.0000E+01  1.9839E+01  2.9928E+01
  2.1000E+01  6.2986E+01  2.9928E+01
  1.0000E+01  1.6439E+01  2.9928E+01
  1.1000E+01  1.7510E+01  2.9928E+01
  1.2000E+01  2.9040E+01  2.9928E+01
  1.3000E+01  5.6223E+01  2.9928E+01
  1.4000E+01  3.2564E+01  2.9928E+01
  1.5000E+01  2.9541E+01  2.9928E+01
  1.6000E+01 -6.7300E+01  2.9928E+01
  1.7000E+01 -5.9634E+01  2.9928E+01
  1.8000E+01 -3.5338E+01  2.9928E+01
  1.9000E+01  2.2422E+01  2.9928E+01
  2.0000E+01  3.3171E+01  2.9928E+01
  2.1000E+01  2.8153E+01  2.9928E+01
  1.0000E+00  4.1745E+01  2.9928E+01
  2.0000E+00  1.1544E+01  2.9928E+01
  3.0000E+00  4.3119E+01  2.9928E+01
  4.0000E+00  1.4297E+01  2.9928E+01
  5.0000E+00  5.8853E+01  2.9928E+01
  6.0000E+00  1.4569E+01  2.9928E+01
  7.0000E+00  3.7776E+01  2.9928E+01
  8.0000E+00  2.7545E+01  2.9928E+01
  9.0000E+00  1.9338E+01  2.9928E+01
  1.0000E+01 -4.2211E+01  2.9928E+01
  1.1000E+01  2.2210E+01  2.9928E+01
  1.2000E+01  3.1330E+01  2.9928E+01
  1.3000E+01  5.5420E+01  2.9928E+01
  1.4000E+01  1.1506E+01  2.9928E+01
  1.5000E+01  1.4241E+02  2.9928E+01
  1.6000E+01  4.5688E+01  2.9928E+01
  1.7000E+01 -1.0699E+01  2.9928E+01
  1.8000E+01  1.1005E+01  2.9928E+01
  1.9000E+01  4.5322E+01  2.9928E+01
  2.0000E+01  1.9225E+01  2.9928E+01
  2.1000E+01 -2.6833E+00  2.9928E+01
  1.0000E+01  4.0132E+01  2.9928E+01
  1.1000E+01  4.5794E+01  2.9928E+01
  1.2000E+01  6.0843E+01  2.9928E+01
  1.3000E+01  1.4192E+02  2.9928E+01
  1.4000E+01  3.9560E+01  2.9928E+01
  1.5000E+01  4.0549E+01  2.9928E+01
  1.6000E+01  1.9945E+00  2.9928E+01
  1.7000E+01  1.7963E+01  2.9928E+01
  1.8000E+01  4.0583E+01  2.9928E+01
  1.9000E+01  2.2675E+01  2.9928E+01
  2.0000E+01  4.2368E+01  2.9928E+01
  2.1000E+01  3.2637E+01  2.9928E+01
  1.0000E+01  3.5903E+01  2.9928E+01
  1.1000E+01  5.3543E+01  2.9928E+01
  1.2000E+01  3.3461E+01  2.9928E+01
  1.3000E+01  2.4709E+01  2.9928E+01
  1.4000E+01  2.2179E+01  2.9928E+01
  1.5000E+01  3.2977E+01  2.9928E+01
  1.6000E+01  4.4412E+01  2.9928E+01
  1.7000E+01  1.8829E+01  2.9928E+01
  1.8000E+01 -1.0728E+02  2.9928E+01
  1.9000E+01  3.3943E+01  2.9928E+01
  2.0000E+01  3.1526E+01  2.9928E+01
  2.1000E+01  1.0428E+01  2.9928E+01
  1.0000E+01  2.5776E+01  2.9928E+01
  1.1000E+01  2.1780E+01  2.9928E+01
  1.2000E+01  4.4086E+01  2.9928E+01
  1.3000E+01  1.6260E+01  2.9928E+01
  1.4000E+01  3.0130E+01  2.9928E+01
  1.5000E+01  2.6215E+01  2.9928E+01
  1.6000E+01 -1.1073E+01  2.9928E+01
  1.7000E+01  4.0461E+01  2.9928E+01
  1.8000E+01  4.0553E+02  2.9928E+01
  1.9000E+01  3.4364E+01  2.9928E+01
  2.0000E+01  2.0787E+01  2.9928E+01
  2.1000E+01  5.4804E+01  2.9928E+01
  1.0000E+01  2.9762E+01  2.9928E+01
  1.1000E+01  1.9682E+01  2.9928E+01
  1.2000E+01  5.0758E+01  2.9928E+01
  1.3000E+01  2.1750E+01  2.9928E+01
  1.4000E+01  6.4137E+01  2.9928E+01
  1.5000E+01  3.1351E+02  2.9928E+01
  1.6000E+01  4.3598E+01  2.9928E+01
  1.7000E+01  2.8691E+01  2.9928E+01
  1.8000E+01  3.3037E+01  2.9928E+01
  1.9000E+01  2.7061E+01  2.9928E+01
  2.0000E+01  5.5683E+01  2.9928E+01
  2.1000E+01  2.1051E+01  2.9928E+01
  1.0000E+01  3.6329E+01  2.9928E+01
  1.1000E+01  6.6341E+01  2.9928E+01
  1.2000E+01  3.8960E+01  2.9928E+01
  1.3000E+01  9.1198E+01  2.9928E+01
  1.4000E+01  2.2715E+01  2.9928E+01
  1.5000E+01  1.3982E+01  2.9928E+01
  1.6000E+01  3.4596E+01  2.9928E+01
  1.7000E+01  2.7570E+01  2.9928E+01
  1.8000E+01  1.4745E+01  2.9928E+01
  1.9000E+01  2.8670E+01  2.9928E+01
  2.0000E+01  2.5527E+01  2.9928E+01
  2.1000E+01  3.2815E+01  2.9928E+01
  1.0000E+00  2.3667E+01  2.9928E+01
  2.0000E+00  4.3650E+01  2.9928E+01
  3.0000E+00  4.1275E+00  2.9928E+01
  4.0000E+00  3.4831E+01  2.9928E+01
  5.0000E+00  3.7005E+01  2.9928E+01
  6.0000E+00  3.7070E+01  2.9928E+01
  7.0000E+00  5.6119E+01  2.9928E+01
  8.0000E+00  3.6507E+01  2.9928E+01
  9.0000E+00  3.2854E+01  2.9928E+01
  1.0000E+01  3.4758E+01  2.9928E+01
  1.1000E+01  3.0281E+01  2.9928E+01
  1.2000E+01  2.3667E+01  2.9928E+01
  1.3000E+01  4.2469E+01  2.9928E+01
  1.4000E+01  3.9761E+01  2.9928E+01
  1.5000E+01  3.0945E+01  2.9928E+01
  1.6000E+01  6.7610E+01  2.9928E+01
  1.7000E+01  3.5952E+01  2.9928E+01
  1.8000E+01  2.6540E+01  2.9928E+01
  1.9000E+01  1.6945E+01  2.9928E+01
  2.0000E+01  2.5564E+01  2.9928E+01
  2.1000E+01  1.4736E+02  2.9928E+01
  1.0000E+01 -3.1337E+01  2.9928E+01
  1.1000E+01  3.0138E+01  2.9928E+01
  1.2000E+01  2.7803E+01  2.9928E+01
  1.3000E+01  2.9153E+01  2.9928E+01
  1.4000E+01  2.4619E+01  2.9928E+01
  1.5000E+01  1.6477E+01  2.9928E+01
  1.6000E+01  2.5950E+01  2.9928E+01
  1.7000E+01  3.0939E+01  2.9928E+01
  1.8000E+01  3.7960E+01  2.9928E+01
  1.9000E+01  3.0727E+01  2.9928E+01
  2.0000E+01  3.3401E+01  2.9928E+01
  2.1000E+01  3.0246E+01  2.9928E+01
  1.0000E+01  2.1369E+01  2.9928E+01
  1.1000E+01  2.1092E+01  2.9928E+01
  1.2000E+01  4.4617E+00  2.9928E+01
  1.3000E+01  3.4851E+01  2.9928E+01
  1.4000E+01  4.6271E+01  2.9928E+01
  1.5000E+01  2.3608E+01  2.9928E+01
  1.6000E+01  2.4090E+01  2.9928E+01
  1.7000E+01  2.9697E+01  2.9928E+01
  1.8000E+01  2.2484E+01  2.9928E+01
  1.9000E+01 -1.3991E+01  2.9928E+01
  2.0000E+01  3.5816E+01  2.9928E+01
  2.1000E+01  4.9968E+01  2.9928E+01
  1.0000E+01  3.8889E+01  2.9928E+01
  1.1000E+01  2.9841E+01  2.9928E+01
  1.2000E+01  4.8198E+01  2.9928E+01
  1.3000E+01  3.2743E+00  2.9928E+01
  1.4000E+01  3.5461E+01  2.9928E+01
  1.5000E+01  5.6078E+01  2.9928E+01
  1.6000E+01  5.7005E+01  2.9928E+01
  1.7000E+01  3.3547E+01  2.9928E+01
  1.8000E+01  3.3776E+01  2.9928E+01
  1.9000E+01  8.6669E+01  2.9928E+01
  2.0000E+01  2.3538E+01  2.9928E+01
  2.1000E+01  2.8709E+01  2.9928E+01
  1.0000E+01  5.3347E+01  2.9928E+01
  1.1000E+01  3.0864E+01  2.9928E+01
  1.2000E+01  3.3488E+01  2.9928E+01
  1.3000E+01  2.4023E+01  2.9928E+01
  1.4000E+01  5.2275E+01  2.9928E+01
  1.5000E+01  3.5374E+01  2.9928E+01
  1.6000E+01 -7.7587E+00  2.9928E+01
  1.7000E+01  3.0770E+01  2.9928E+01
  1.8000E+01  3.3422E+01  2.9928E+01
  1.9000E+01  4.4003E+01  2.9928E+01
  2.0000E+01  7.4655E+00  2.9928E+01
  2.1000E+01  4.2783E+01  2.9928E+01
  1.0000E+01  1.4889E+01  2.9928E+01
  1.1000E+01  2.8347E+01  2.9928E+01
  1.2000E+01  3.6735E+01  2.9928E+01
  1.3000E+01 -5.1282E+01  2.9928E+01
  1.4000E+01  9.3661E+01  2.9928E+01
  1.5000E+01  3.3382E+01  2.9928E+01
  1.6000E+01  3.0284E+01  2.9928E+01
  1.7000E+01  4.1929E+01  2.9928E+01
  1.8000E+01  3.1978E+01  2.9928E+01
  1.9000E+01  2.1701E+01  2.9928E+01
  2.0000E+01 -1.8461E+01  2.9928E+01
  2.1000E+01  1.5682E+02  2.9928E+01
  1.0000E+00  1.1284E+02  2.9928E+01
  2.0000E+00  2.2417E+01  2.9928E+01
  3.0000E+00 -8.7051E+00  2.9928E+01
  4.0000E+00  2.6160E+01  2.9928E+01
  5.0000E+00  3.2702E+01  2.9928E+01
  6.0000E+00  2.6903E+01  2.9928E+01
  7.0000E+00  1.7546E+01  2.9928E+01
  8.0000E+00  3.6951E+01  2.9928E+01
  9.0000E+00  1.5360E+01  2.9928E+01
  1.0000E+01  3.1806E+01  2.9928E+01
  1.1000E+01 -4.3799E+00  2.9928E+01
  1.2000E+01  3.4105E+01  2.9928E+01
  1.3000E+01  3.8190E+01  2.9928E+01
  1.4000E+01  3.1457E+01  2.9928E+01
  1.5000E+01  2.6414E+01  2.9928E+01
  1.6000E+01 -1.2228E+00  2.9928E+01
  1.7000E+01  2.1207E+02  2.9928E+01
  1.8000E+01  3.5867E+01  2.9928E+01
  1.9000E+01  2.9783E+01  2.9928E+01
  2.0000E+01  4.9320E+00  2.9928E+01
  2.1000E+01  2.9073E+01  2.9928E+01
  1.0000E+01  4.3593E+01  2.9928E+01
  1.1000E+01 -1.1424E+01  2.9928E+01
  1.2000E+01  3.5297E+02  2.9928E+01
  1.3000E+01  1.8814E+03  2.9928E+01
  1.4000E+01  1.5531E+01  2.9928E+01
  1.5000E+01  2.9877E+01  2.9928E+01
  1.6000E+01  1.1970E+01  2.9928E+01
  1.7000E+01  1.9058E+01  2.9928E+01
  1.8000E+01 -2.0212E+02  2.9928E+01
  1.9000E+01  2.3917E+01  2.9928E+01
  2.0000E+01  4.9846E+01  2.9928E+01
  2.1000E+01  7.4995E+01  2.9928E+01
  1.0000E+01  2.9900E+01  2.9928E+01
  1.1000E+01  4.1897E+01  2.9928E+01
  1.2000E+01  2.8777E+01  2.9928E+01
  1.3000E+01 -2.1989E+02  2.9928E+01
  1.4000E+01  3.0591E+01  2.9928E+01
  1.5000E+01  1.9239E+01  2.9928E+01
  1.6000E+01  3.8841E+01  2.9928E+01
  1.7000E+01  2.7395E+01  2.9928E+01
  1.8000E+01  3.2945E+01  2.9928E+01
  1.9000E+01  1.2921E+02  2.9928E+01
  2.0000E+01  2.3510E+01  2.9928E+01
  2.1000E+01 -2.1178E+01  2.9928E+01
  1.0000E+01  3.2443E+01  2.9928E+01
  1.1000E+01  3.4389E+01  2.9928E+01
  1.2000E+01  1.8202E+01  2.9928E+01
  1.3000E+01  5.1299E+01  2.9928E+01
  1.4000E+01  2.4256E+01  2.9928E+01
  1.5000E+01  6.9767E-01  2.9928E+01
  1.6000E+01  4.6554E+01  2.9928E+01
  1.7000E+01  3.3664E+01  2.9928E+01
  1.8000E+01  2.6949E+01  2.9928E+01
  1.9000E+01  2.9935E+01  2.9928E+01
  2.0000E+01  3.0944E+01  2.9928E+01
  2.1000E+01  1.5359E+01  2.9928E+01
  1.0000E+01  8.3114E+00  2.9928E+01
  1.1000E+01  7.1208E+01  2.9928E+01
  1.2000E+01  3.1168E+01  2.9928E+01
  1.3000E+01 -3.8047E+00  2.9928E+01
  1.4000E+01  3.1979E+01  2.9928E+01
  1.5000E+01 -4.0309E-01  2.9928E+01
  1.6000E+01  3.4005E+01  2.9928E+01
  1.7000E+01  1.7797E+01  2.9928E+01
  1.8000E+01  2.2355E+01  2.9928E+01
  1.9000E+01  4.0573E+01  2.9928E+01
  2.0000E+01  3.2414E+01  2.9928E+01
  2.1000E+01  1.2949E+01  2.9928E+01
  1.0000E+01  2.9019E+01  2.9928E+01
  1.1000E+01  2.4299E+01  2.9928E+01
  1.2000E+01  3.7129E+01  2.9928E+01
  1.3000E+01  2.2832E+01  2.9928E+01
  1.4000E+01  3.2213E+01  2.9928E+01
  1.5000E+01  3.6056E+01  2.9928E+01
  1.6000E+01  2.8567E+01  2.9928E+01
  1.7000E+01  2.6286E+01  2.9928E+01
  1.8000E+01  3.3930E+01  2.9928E+01
  1.9000E+01  3.4550E+01  2.9928E+01
  2.0000E+01  1.5517E+01  2.9928E+01
  2.1000E+01  3.3025E+01  2.9928E+01
  1.0000E+00  2.7777E+01  2.9928E+01
  2.0000E+00  4.0039E+01  2.9928E+01
  3.0000E+00  2.6629E+01  2.9928E+01
  4.0000E+00  2.7845E+01  2.9928E+01
  5.0000E+00  1.1568E+02  2.9928E+01
  6.0000E+00 -2.3973E+03  2.9928E+01
  7.0000E+00  2.4714E+01  2.9928E+01
  8.0000E+00  1.6602E+01  2.9928E+01
  9.0000E+00 -8.7513E+01  2.9928E+01
  1.0000E+01  3.6848E+01  2.9928E+01
  1.1000E+01  2.3778E+01  2.9928E+01
  1.2000E+01  4.2666E+01  2.9928E+01
  1.3000E+01  5.8009E+01  2.9928E+01
  1.4000E+01 -1.3111E+01  2.9928E+01
  1.5000E+01  9.0378E+01  2.9928E+01
  1.6000E+01  1.8214E+01  2.9928E+01
  1.7000E+01  2.8880E+01  2.9928E+01
  1.8000E+01  1.3146E+01  2.9928E+01
  1.9000E+01  2.0967E+00  2.9928E+01
  2.0000E+01  4.6582E+01  2.9928E+01
  2.1000E+01  6.9892E+00  2.9928E+01
  1.0000E+01  5.3561E+01  2.9928E+01
  1.1000E+01  5.2823E+01  2.9928E+01
  1.2000E+01  3.1568E+01  2.9928E+01
  1.3000E+01  4.3768E+01  2.9928E+01
  1.4000E+01  2.5295E+01  2.9928E+01
  1.5000E+01  4.0234E+01  2.9928E+01
  1.6000E+01  2.2764E+01  2.9928E+01
  1.7000E+01 -5.0881E+00  2.9928E+01
  1.8000E+01  6.4581E+01  2.9928E+01
  1.9000E+01 -1.5124E+02  2.9928E+01
  2.0000E+01 -4.3146E+01  2.9928E+01
  2.1000E+01  2.8895E+01  2.9928E+01
  1.0000E+01  3.7388E+01  2.9928E+01
  1.1000E+01  2.5139E+01  2.9928E+01
  1.2000E+01  9.6886E+00  2.9928E+01
  1.3000E+01  4.4386E+01  2.9928E+01
  1.4000E+01  3.3728E+01  2.9928E+01
  1.5000E+01  3.5627E+01  2.9928E+01
  1.6000E+01  4.2238E+01  2.9928E+01
  1.7000E+01  2.8099E+01  2.9928E+01
  1.8000E+01 -3.7572E+02  2.9928E+01
  1.9000E+01 -1.3396E+02  2.9928E+01
  2.0000E+01  3.7167E+01  2.9928E+01
  2.1000E+01  3.2184E+01  2.9928E+01
  1.0000E+01  3.6720E+01  2.9928E+01
  1.1000E+01  1.4301E+00  2.9928E+01
  1.2000E+01  4.9098E+01  2.9928E+01
  1.3000E+01  3.6631E+01  2.9928E+01
  1.4000E+01  1.0683E+02  2.9928E+01
  1.5000E+01  3.3485E+01  2.9928E+01
  1.6000E+01  2.5560E+01  2.9928E+01
  1.7000E+01  3.7047E+01  2.9928E+01
  1.8000E+01 -5.7367E+00  2.9928E+01
  1.9000E+01  5.7192E+00  2.9928E+01
  2.0000E+01  2.4586E+01  2.9928E+01
  2.1000E+01  3.4336E+01  2.9928E+01
  1.0000E+01  5.2390E+00  2.9928E+01
  1.1000E+01  2.7233E+01  2.9928E+01
  1.2000E+01  1.4423E+01  2.9928E+01
  1.3000E+01  1.3638E+02  2.9928E+01
  1.4000E+01  1.7668E+01  2.9928E+01
  1.5000E+01  1.3477E+01  2.9928E+01
  1.6000E+01  3.4701E+01  2.9928E+01
  1.7000E+01  5.2220E+01  2.9928E+01
  1.8000E+01  6.4786E+01  2.9928E+01
  1.9000E+01  3.3569E+01  2.9928E+01
  2.0000E+01  3.2994E+01  2.9928E+01
  2.1000E+01  3.2029E+01  2.9928E+01
  1.0000E+01  5.4798E+01  2.9928E+01
  1.1000E+01  5.2383E+01  2.9928E+01
  1.2000E+01  2.7953E+01  2.9928E+01
  1.3000E+01 -8.0737E+01  2.9928E+01
  1.4000E+01  2.6525E+01  2.9928E+01
  1.5000E+01  3.7973E+01  2.9928E+01
  1.6000E+01 -7.2297E+01  2.9928E+01
  1.7000E+01  7.5527E+01  2.9928E+01
  1.8000E+01  2.8208E+01  2.9928E+01
  1.9000E+01  4.1724E+01  2.9928E+01
  2.0000E+01  5.7230E+01  2.9928E+01
  2.1000E+01  2.7227E+01  2.9928E+01
  1.0000E+00 -4.4893E+01  2.9928E+01
  2.0000E+00  2.4988E+01  2.9928E+01
  3.0000E+00  3.8673E+01  2.9928E+01
  4.0000E+00  2.1579E+01  2.9928E+01
  5.0000E+00  2.2998E+01  2.9928E+01
  6.0000E+00  3.5003E+01  2.9928E+01
  7.0000E+00  2.7148E+01  2.9928E+01
  8.0000E+00  2.4794E+01  2.9928E+01
  9.0000E+00  4.6070E+01  2.9928E+01
  1.0000E+01  5.1627E+01  2.9928E+01
  1.1000E+01  2.4819E+01  2.9928E+01
  1.2000E+01  2.5770E+01  2.9928E+01
  1.3000E+01  2.2512E+01  2.9928E+01
  1.4000E+01  2.6489E+01  2.9928E+01
  1.5000E+01  6.6814E+01  2.9928E+01
  1.6000E+01  7.7932E+00  2.9928E+01
  1.7000E+01  1.7405E+02  2.9928E+01
  1.8000E+01  3.0313E+01  2.9928E+01
  1.9000E+01  2.8583E+01  2.9928E+01
  2.0000E+01  1.8813E+01  2.9928E+01
  2.1000E+01  3.2787E+01  2.9928E+01
  1.0000E+01  6.3599E+01  2.9928E+01
  1.1000E+01  3.2137E+01  2.9928E+01
  1.2000E+01  1.2589E+01  2.9928E+01
  1.3000E+01  3.3512E+00  2.9928E+01
  1.4000E+01  3.1336E+01  2.9928E+01
  1.5000E+01  2.9316E+01  2.9928E+01
  1.6000E+01 -2.0096E+01  2.9928E+01
  1.7000E+01  2.2928E+01  2.9928E+01
  1.8000E+01  2.7356E+01  2.9928E+01
  1.9000E+01  4.2357E+01  2.9928E+01
  2.0000E+01  1.6094E+01  2.9928E+01
  2.1000E+01  3.0151E+01  2.9928E+01
  1.0000E+01  4.3347E+01  2.9928E+01
  1.1000E+01  4.4115E+01  2.9928E+01
  1.2000E+01  5.9792E+01  2.9928E+01
  1.3000E+01 -4.8426E+01  2.9928E+01
  1.4000E+01  4.6706E+01  2.9928E+01
  1.5000E+01  2.8193E+01  2.9928E+01
  1.6000E+01  3.9190E+00  2.9928E+01
  1.7000E+01  1.1980E+01  2.9928E+01
  1.8000E+01 -2.4860E+00  2.9928E+01
  1.9000E+01  8.0067E+01  2.9928E+01
  2.0000E+01  4.2945E+00  2.9928E+01
  2.1000E+01  2.0527E+01  2.9928E+01
  1.0000E+01  3.6464E+03  2.9928E+01
  1.1000E+01  2.1539E+01  2.9928E+01
  1.2000E+01  6.0131E+01  2.9928E+01
  1.3000E+01  3.1669E+01  2.9928E+01
  1.4000E+01  2.9697E+01  2.9928E+01
  1.5000E+01 -3.1277E+01  2.9928E+01
  1.6000E+01  4.4723E+01  2.9928E+01
  1.7000E+01  3.5991E-01  2.9928E+01
  1.8000E+01  2.4710E+01  2.9928E+01
  1.9000E+01  2.6132E+01  2.9928E+01
  2.0000E+01  2.3180E+02  2.9928E+01
  2.1000E+01  2.7890E+01  2.9928E+01
  1.0000E+01  3.7298E+01  2.9928E+01
  1.1000E+01  3.5144E+01  2.9928E+01
  1.2000E+01  4.3591E+01  2.9928E+01
  1.3000E+01  2.4536E+01  2.9928E+01
  1.4000E+01  3.4365E+01  2.9928E+01
  1.5000E+01  2.3820E+02  2.9928E+01
  1.6000E+01  9.2013E+00  2.9928E+01
  1.7000E+01  4.3766E+01  2.9928E+01
  1.8000E+01  3.2571E+01  2.9928E+01
  1.9000E+01  2.6529E+01  2.9928E+01
  2.0000E+01  4.2504E+01  2.9928E+01
  2.1000E+01  1.5535E+01  2.9928E+01
  1.0000E+01  7.7434E+01  2.9928E+01
